\49E\,\2F40\,\49F\,\2F40\,\49E\,\0040\,\7FE\,\0040\,\0040\,\0001\,\-\,\-\
\49F\,\F0FD\,\4A0\,\F0FD\,\49F\,\F0FD\,\7FE\,\049F\,\0040\,\0001\,\-\,\-\
\4A0\,\0A00\,\49A\,\0A00\,\7FE\,\049A\,\7FF\,\04A0\,\0040\,\0001\,\-\,\-\
\49A\,\0200\,\49B\,\0200\,\49A\,\0200\,\7FF\,\049A\,\0000\,\0101\,\-\,\-\
\49B\,\1206\,\49C\,\1206\,\49B\,\1206\,\7FF\,\049B\,\00CF\,\0101\,\-\,\-\
\49C\,\0A00\,\482\,\0A00\,\7FF\,\0482\,\000\,\049C\,\00CF\,\0101\,\-\,\-\
\482\,\DE07\,\48A\,\DE07\,\7FF\,\0483\,\7FF\,\048A\,\00CF\,\0101\,\7FF\,\0483\
\48A\,\0680\,\48B\,\0680\,\48A\,\0680\,\7FF\,\048A\,\CF00\,\1001\,\-\,\-\
\48B\,\0C00\,\48C\,\0C00\,\7FE\,\CF00\,\7FE\,\048B\,\CF00\,\1001\,\7FE\,\CF00\
\48C\,\A815\,\48D\,\A815\,\56B\,\00C2\,\7FE\,\0015\,\00C2\,\0001\,\-\,\-\
\48D\,\2E17\,\48E\,\2E17\,\4A5\,\00FF\,\7FE\,\0017\,\00C2\,\0001\,\-\,\-\
\48E\,\3C00\,\48F\,\3C00\,\7FE\,\CF00\,\7FE\,\303D\,\CFC2\,\1001\,\-\,\-\
\48F\,\E812\,\490\,\E812\,\56B\,\CFC2\,\7FE\,\0012\,\CFC2\,\1001\,\56B\,\CFC2\
\490\,\0800\,\491\,\0800\,\7FE\,\CF00\,\7FF\,\0490\,\CF00\,\1001\,\-\,\-\
\491\,\0A00\,\483\,\0A00\,\7FF\,\0483\,\000\,\0491\,\CF00\,\1001\,\-\,\-\
\483\,\7E1F\,\484\,\7E1F\,\4A3\,\0000\,\000\,\001F\,\CF00\,\1001\,\-\,\-\
\484\,\F002\,\485\,\F002\,\484\,\F002\,\000\,\0484\,\CF00\,\1001\,\-\,\-\
\485\,\DE02\,\488\,\DE02\,\7FF\,\0486\,\7FF\,\0488\,\CF00\,\1001\,\7FF\,\0486\
\488\,\AA19\,\489\,\AA19\,\56B\,\CFC2\,\7FF\,\0019\,\CFC2\,\1001\,\4A2\,\056C\
\489\,\0A00\,\486\,\0A00\,\7FF\,\0486\,\000\,\0489\,\CFC2\,\1001\,\-\,\-\
\486\,\CEF6\,\47D\,\CEF6\,\486\,\047D\,\000\,\FFF6\,\CFC2\,\1001\,\-\,\-\
\47D\,\DE1B\,\499\,\DE1B\,\7FF\,\047E\,\7FF\,\0499\,\CFC2\,\1001\,\7FF\,\047E\
\499\,\DE03\,\49D\,\DE03\,\7FE\,\049A\,\7FE\,\049D\,\CFC2\,\1001\,\7FE\,\049A\
\49D\,\1207\,\49E\,\1207\,\49D\,\1207\,\7FE\,\049D\,\CF40\,\1001\,\-\,\-\
\49E\,\2F40\,\49F\,\2F40\,\49E\,\0040\,\7FE\,\0040\,\0040\,\0001\,\-\,\-\
\49F\,\F0FD\,\4A0\,\F0FD\,\49F\,\F0FD\,\7FE\,\049F\,\0040\,\0001\,\-\,\-\
\4A0\,\0A00\,\49A\,\0A00\,\7FE\,\049A\,\7FF\,\04A0\,\0040\,\0001\,\-\,\-\
\49A\,\0200\,\49B\,\0200\,\49A\,\0200\,\7FF\,\049A\,\0000\,\0101\,\-\,\-\
\49B\,\1206\,\49C\,\1206\,\49B\,\1206\,\7FF\,\049B\,\00CB\,\0101\,\-\,\-\
\49C\,\0A00\,\47E\,\0A00\,\7FF\,\047E\,\000\,\049C\,\00CB\,\0101\,\-\,\-\
\47E\,\DE13\,\492\,\DE13\,\7FF\,\047F\,\7FF\,\0492\,\00CB\,\0101\,\7FF\,\047F\
\492\,\0C00\,\493\,\0C00\,\7FE\,\00CB\,\7FE\,\0492\,\00CB\,\0101\,\7FE\,\00CB\
\493\,\A80E\,\494\,\A80E\,\56C\,\0000\,\7FE\,\000E\,\0000\,\0101\,\-\,\-\
\494\,\2E0F\,\495\,\2E0F\,\4A4\,\FF00\,\7FE\,\000F\,\0000\,\0101\,\-\,\-\
\495\,\3C00\,\496\,\3C00\,\7FE\,\00CB\,\7FE\,\FF34\,\00CB\,\0001\,\-\,\-\
\496\,\E80B\,\497\,\E80B\,\56C\,\00CB\,\7FE\,\000B\,\00CB\,\0001\,\56C\,\00CB\
\497\,\0800\,\498\,\0800\,\7FE\,\00CB\,\7FF\,\0497\,\00CB\,\0001\,\-\,\-\
\498\,\0A00\,\47F\,\0A00\,\7FF\,\047F\,\000\,\0498\,\00CB\,\0001\,\-\,\-\
\47F\,\7E23\,\480\,\7E23\,\4A3\,\0000\,\000\,\0023\,\00CB\,\0001\,\-\,\-\
\480\,\F006\,\481\,\F006\,\480\,\F006\,\000\,\0480\,\00CB\,\0001\,\-\,\-\
\481\,\DE17\,\499\,\DE17\,\7FF\,\0482\,\7FF\,\0499\,\00CB\,\0001\,\7FF\,\0482\
\499\,\DE03\,\49D\,\DE03\,\7FE\,\049A\,\7FE\,\049D\,\00CB\,\0001\,\7FE\,\049A\
\49D\,\1207\,\49E\,\1207\,\49D\,\1207\,\7FE\,\049D\,\0040\,\0001\,\-\,\-\
\49E\,\2F40\,\49F\,\2F40\,\49E\,\0040\,\7FE\,\0040\,\0040\,\0001\,\-\,\-\
\49F\,\F0FD\,\4A0\,\F0FD\,\49F\,\F0FD\,\7FE\,\049F\,\0040\,\0001\,\-\,\-\
\4A0\,\0A00\,\49A\,\0A00\,\7FE\,\049A\,\7FF\,\04A0\,\0040\,\0001\,\-\,\-\
\49A\,\0200\,\49B\,\0200\,\49A\,\0200\,\7FF\,\049A\,\0000\,\0101\,\-\,\-\
\49B\,\1206\,\49C\,\1206\,\49B\,\1206\,\7FF\,\049B\,\003A\,\0101\,\-\,\-\
\49C\,\0A00\,\482\,\0A00\,\7FF\,\0482\,\000\,\049C\,\003A\,\0101\,\-\,\-\
\482\,\DE07\,\48A\,\DE07\,\7FF\,\0483\,\7FF\,\048A\,\003A\,\0101\,\7FF\,\0483\
\48A\,\0680\,\48B\,\0680\,\48A\,\0680\,\7FF\,\048A\,\3A00\,\0001\,\-\,\-\
